department_id,name,floor,head_doctor_id,total_staff,phone_extension,description
DEPT001,Cardiology,3,D001,15,1001,"Focuses on diagnosing and treating heart and blood vessel disorders — think heart attacks, arrhythmias, and hypertension"
DEPT002,Neurology,4,D002,12,1002,"Deals with the nervous system: brain, spinal cord, and nerves. Covers conditions like epilepsy, stroke, and Parkinson’s disease."
DEPT003,Orthopedics,2,D003,18,1003,"Specializes in bones, joints, ligaments, and muscles. Common cases include fractures, arthritis, and joint replacements."
DEPT004,Gynecology,5,D004,14,1004,"Cares for the female reproductive system — menstrual disorders, fertility, pregnancy, and menopause."
DEPT005,Pediatrics,1,D005,16,1005,"Manages health of infants, children, and adolescents — from vaccinations to developmental disorders."
DEPT006,Dermatology,3,D006,8,1006,"Treats skin, hair, and nail conditions — acne, eczema, psoriasis, and skin infections."
DEPT007,Gastroenterology,4,D007,10,1007,"Focuses on the digestive system — stomach, intestines, liver, and pancreas. Think ulcers, IBS, and hepatitis."
DEPT008,Ophthalmology,2,D008,9,1008,"Covers eye health — vision problems, cataracts, glaucoma, and corrective surgeries."
DEPT009,ENT,5,D009,7,1009,"Also called Otolaryngology. Manages sinus issues, hearing loss, throat infections, and voice disorders."
DEPT010,Psychiatry,6,D010,6,1010,"Deals with mental health — depression, anxiety, schizophrenia, and behavioral disorders."
DEPT011,Urology,3,D011,8,1011,"Focuses on urinary tract and male reproductive system — kidney stones, UTIs, prostate issues."
DEPT012,Endocrinology,4,D012,6,1012,"Manages hormone-related conditions — diabetes, thyroid disorders, and metabolic syndromes."
DEPT013,Nephrology,2,D013,9,1013,"Specializes in kidney function and diseases — chronic kidney disease, dialysis, and electrolyte imbalances."
DEPT014,Pulmonology,5,D014,10,1014,"Treats lung and respiratory conditions — asthma, COPD, pneumonia, and sleep apnea."
DEPT015,Oncology,6,D015,14,1015,"Dedicated to cancer diagnosis and treatment — chemotherapy, radiation, and tumor management."
